ticker,name,total_ret,win_rate,hit_rate,sharpe,mdd,trades
5380,현대차,950.38,67.6,67.5,2.45,-11.75,108
32830,삼성생명,939.69,66.4,65.6,3.07,-14.65,113
12510,더존비즈온,935.61,63.3,59.0,2.3,-18.17,109
73240,금호타이어,928.32,65.7,65.9,2.78,-18.78,105
373220,LG에너지솔루션,909.87,74.3,70.1,3.35,-28.04,101
5935,삼성전자우,902.47,79.8,70.6,3.95,-17.73,104
6360,GS건설,880.63,64.9,69.7,2.84,-20.46,114
278470,에이피알,867.13,67.6,63.2,2.9,-22.76,68
28050,삼성E&A,867.06,66.7,62.4,3.22,-20.05,105
475150,SK이터닉스,843.79,51.7,63.7,2.16,-29.9,60
16360,삼성증권,841.33,78.2,71.9,3.99,-14.26,110
8930,한미사이언스,811.63,62.5,64.1,2.54,-24.92,112
175330,JB금융지주,808.57,64.8,65.8,2.69,-16.7,125
11210,현대위아,805.78,66.4,66.8,3.16,-18.53,116
68270,셀트리온,767.47,63.2,62.9,3.15,-20.08,106
375500,DL이앤씨,764.97,70.5,64.6,2.84,-25.8,105
17800,현대엘리베이터,761.62,68.4,66.4,2.69,-21.99,114
5385,현대차우,761.41,65.5,66.8,2.97,-12.91,110
4800,효성,756.81,70.3,69.6,2.43,-23.5,118
1120,LX인터내셔널,744.04,68.5,69.4,3.34,-14.16,111
240,한국앤컴퍼니,739.62,59.8,64.7,1.9,-20.19,122
316140,우리금융지주,738.71,71.4,71.8,3.59,-17.07,112
5940,NH투자증권,738.08,70.0,70.8,2.77,-19.95,120
4020,현대제철,729.76,73.9,67.7,3.02,-22.85,111
138930,BNK금융지주,721.21,76.1,73.0,3.13,-21.63,117
86280,현대글로비스,720.93,64.6,67.0,2.83,-17.31,113
7340,DN오토모티브,699.64,63.9,61.8,2.17,-19.44,122
5387,현대차2우B,690.49,64.4,66.0,2.63,-17.25,118
55550,신한지주,684.49,67.6,69.9,3.26,-17.22,108
241560,두산밥캣,672.09,63.7,64.8,2.9,-14.03,113
11170,롯데케미칼,648.62,62.2,67.3,2.47,-20.06,111
78930,GS,637.49,70.0,65.9,2.97,-14.53,110
35720,카카오,637.38,62.3,62.9,2.39,-28.49,106
5830,DB손해보험,631.68,62.9,63.8,2.47,-17.9,116
111770,영원무역,629.59,59.5,62.9,2.04,-17.62,121
12330,현대모비스,626.38,67.6,66.3,3.46,-10.64,108
34220,LG디스플레이,624.29,64.6,69.1,2.95,-24.99,113
326030,SK바이오팜,623.6,66.7,66.5,2.52,-33.65,117
