sector,신호수,승률,평균수익
2차전지,4,0.0,-0.0894
IT,3,0.6667,0.0417
건설,2,0.0,-0.042
금융,51,0.1765,-0.0175
물류,1,1.0,0.0489
반도체,2,0.0,-0.0089
방산,14,0.0,-0.0814
보험,1,0.0,-0.0179
소비,1,1.0,0.1689
소재,4,0.25,-0.073
에너지,18,0.1667,-0.0284
자동차,6,0.5,0.014
지주,5,0.0,-0.0305
