bt_grade,신호수,실제승률,평균실제수익,평균예측수익
매수관심(0.55~0.70),211,0.2607,-0.0183,0.027
중립(0.45~0.55),1638,0.4493,0.0179,0.0197
하락주의(<0.45),1407,0.4534,0.0242,0.0111
