Date,daily_ret,cumret
2026-04-08,0.03415880686778827,0.03415880686778827
2026-05-06,-0.036492833915452216,-0.0035805787134401967
2026-05-07,-0.032258064516129004,-0.035723140690425925
2026-05-08,-0.059507803521295255,-0.09310513857435176
2026-05-11,-0.0690881444399899,-0.15576082175241157
2026-05-12,-0.05238403709806588,-0.19998547818537393
2026-05-13,-0.03906461585779571,-0.23123773816072046
2026-05-14,-0.03134806388098882,-0.25533694665415174
2026-06-01,-0.11444652908067543,-0.3405610484442019
2026-06-02,-0.027336808749571197,-0.3585880049449005
2026-06-04,-0.04173766012044268,-0.38535904079168526
2026-06-05,-0.07269503546099287,-0.43004038711711234
2026-06-08,0.10617283950617273,-0.3695261566134972
2026-06-09,0.0652173913043479,-0.32840829726220344
