Date,daily_ret,cumret
2026-04-06,0.09855464932149573,0.09855464932149571
2026-04-07,0.1249036574547353,0.23576814293565462
2026-04-08,0.06560827314650186,0.3168447568031225
2026-04-09,0.0749448756225202,0.4155355233159004
2026-04-10,0.09511405523990651,0.550172847274619
2026-04-13,0.08489353963751525,0.6817725073297267
2026-04-14,0.06555664592963957,0.7920238721269437
2026-04-15,0.05531618644689975,0.8911517987548132
2026-04-16,0.03687603809617123,0.9608899845313386
2026-04-17,0.06263321276933315,1.0837068241497443
2026-04-20,0.05374352772772606,1.1956925796298883
2026-04-21,0.007546845447215862,1.2122631321779536
2026-04-22,0.03668638656799467,1.2934230726351568
2026-04-23,0.009238614132996092,1.314611123446943
2026-04-24,0.06032986228932616,1.45425129377784
2026-04-27,0.09522660056200484,1.687961301409206
2026-04-28,0.033681299901351824,1.7784953321251975
2026-04-29,0.026327354930751334,1.8516457649074929
2026-04-30,0.13154512048244696,2.2267658506255086
2026-05-04,-0.011325015424724083,2.1902226775952016
2026-05-06,-0.021890813971030185,2.120386106433803
2026-05-07,-0.030492717576532657,2.0252370541605806
2026-05-08,-0.06289119217819589,1.8349762892027686
2026-05-11,-0.05257903710034441,1.6859159657141793
2026-05-12,-0.06759837822914712,1.504352402372127
2026-05-13,-0.07370441869480449,1.3197705643483522
2026-05-14,-0.05371628027776149,1.195161118533715
2026-05-15,0.023482701567839416,1.2467094319735668
2026-05-18,0.04447759911672271,1.346637673420647
2026-05-19,0.06259392496428409,1.4935229358691013
2026-05-20,0.06353604358585144,1.6519515178048008
2026-05-21,-0.0077624540520185685,1.6313658659996602
2026-05-22,0.0009980253753204271,1.6339920359056794
2026-05-26,-0.03015282575021357,1.554569733019565
2026-05-27,-0.03015150482760577,1.47754561138197
2026-05-28,-0.024120134082283334,1.4177868790404644
2026-05-29,-0.10892480846261478,1.1544299063375587
2026-06-01,-0.06755616362596989,1.0088848870643359
2026-06-02,-0.041980169871750656,0.9245515582525823
2026-06-04,-0.05910201728893575,0.8108066787832899
2026-06-05,0.00838563387851849,0.8259914406163424
2026-06-08,0.13588082675935648,1.0741086672227995
2026-06-09,0.12533895249601607,1.334075274935413
2026-06-10,0.10533993943008185,1.5799466230223609
