Date,us_BIIB,us_AVGO,us_XOM,us_MRK,us_KTOS,us_NEM,us_HMC,us_MU,us_KLAC,us_MP,us_CVX,us_LRCX,us_F,us_TSLA,us_GOOGL,us_ENPH,us_AMGN,us_GM,us_AMAT,us_NUE,us_META,us_RTX,us_TXN,us_REGN,us_HII,us_LMT,us_CLF,us_FCX,us_GD,us_ALB,us_BA,us_ABBV,us_UUUU,us_COP,us_PFE,us_NFLX,us_QCOM,us_FSLR,us_TSM,us_JNJ,us_AA,us_CCJ,us_NVDA,us_NOC,us_SQM,us_AMD,us_SMH,us_SOXX,us_XLK,us_XLE,us_XLI,us_IBB,us_LIT,us_ITA,us_XLF,us_ICLN
2023-06-20,0.001940082337937854,-0.018264273868621506,0.01119572283910708,0.008436769887249396,0.12736535874465926,-0.012064800969881495,0.021332511347738725,-0.01644235679749062,-0.01726772967594381,-0.01662925120150105,0.007808482077725332,-0.013804754979665268,-0.01406456603307471,-0.054618400747766804,-0.020714807321559947,-0.023257165371501687,-0.006780748999714925,-0.00830643137346665,-0.013355645425586427,0.015917529826578347,-0.009460881654254849,0.014022378293607751,-0.022253013344298633,-0.0031234006357242494,0.005538434490899746,0.016711057762587744,-0.02128956022505324,0.00939063806610485,0.009466742450191745,-0.007923472867824466,-0.0013655096896940666,-0.006965568884791495,0.001577247918613356,0.016367788850785603,-0.011184462170809817,-0.023579514540955082,-0.03388405072981049,-0.008167674490109689,-0.022504360887404706,-0.0015231496420953228,0.020163495224395867,-0.018779386137654286,-0.017417084777384684,0.017893938485787464,0.008335703191043597,-0.05734465380748355,-0.022899717410498566,-0.02437461582291034,-0.014796617486486752,0.007912248448347148,0.005563701323425763,-0.0042951129960271395,-0.011782776204536272,0.009198276401692462,-0.0012058389635851707,-0.00544376818735437
2023-06-21,0.001940082337937854,-0.018264273868621506,0.01119572283910708,0.008436769887249396,0.12736535874465926,-0.012064800969881495,0.021332511347738725,-0.01644235679749062,-0.01726772967594381,-0.01662925120150105,0.007808482077725332,-0.013804754979665268,-0.01406456603307471,-0.054618400747766804,-0.020714807321559947,-0.023257165371501687,-0.006780748999714925,-0.00830643137346665,-0.013355645425586427,0.015917529826578347,-0.009460881654254849,0.014022378293607751,-0.022253013344298633,-0.0031234006357242494,0.005538434490899746,0.016711057762587744,-0.02128956022505324,0.00939063806610485,0.009466742450191745,-0.007923472867824466,-0.0013655096896940666,-0.006965568884791495,0.001577247918613356,0.016367788850785603,-0.011184462170809817,-0.023579514540955082,-0.03388405072981049,-0.008167674490109689,-0.022504360887404706,-0.0015231496420953228,0.020163495224395867,-0.018779386137654286,-0.017417084777384684,0.017893938485787464,0.008335703191043597,-0.05734465380748355,-0.022899717410498566,-0.02437461582291034,-0.014796617486486752,0.007912248448347148,0.005563701323425763,-0.0042951129960271395,-0.011782776204536272,0.009198276401692462,-0.0012058389635851707,-0.00544376818735437
2023-06-22,-0.0013927611256048245,-0.006169958329699909,-0.0054877330875755526,0.023030009585078837,-0.06068428626680644,-0.010098541049614718,-0.005141490845962937,0.006838913807136304,0.023990561101956853,0.002742293217204761,-0.014462713604689759,0.02322539388561129,0.012125399359053768,0.019848894111198723,0.021567753089768216,-0.0325019735420472,0.011539889492144129,-0.009456952504893978,0.016463316190434174,0.009413828685255199,0.011504145897645257,-0.02170172230824774,0.012611562942854926,0.001335377662013526,-0.007875084378809571,-0.0056005287349910615,-0.006215064047320307,-0.0012570049393534344,-0.014158934600204787,-0.019012174973925933,-0.030507361207291916,0.004018832933200489,-0.0251968267425301,-0.02189019713404039,-0.004370319129737066,-0.004641267466316656,0.0055285213046756265,0.013544262515980732,0.014659411129855693,0.010617435518015528,-0.04296753050645108,-0.015311004140512452,-0.0004645691440846589,-0.009535729073684496,-0.023973823015929763,-0.012576965965863884,0.004955189428155871,0.004662640785631611,0.008159716413339124,-0.013421101865526475,-0.007249844654849458,0.00023100745920601184,-0.008826201526306976,-0.015391248663092605,-0.007845461458730774,-0.010399587830604684
2023-06-23,-0.0320803633330613,-0.0240734593684383,-0.008712478256769574,0.0077381192401186905,-0.046735415550632875,-0.013523317745371188,-0.02616274712892852,-0.014641409864290744,-0.022315961070490387,-0.022333626216532454,-0.008451394697339354,-0.017923130015550126,-0.011980135432558603,-0.030270888067223778,-0.0065773959359722856,-0.02362638507802517,-0.011103277815365797,-0.013093158853738851,-0.02051531835727516,0.003000316249550661,0.013514506543662819,-0.00010316644664809527,-0.028674078614405296,-0.00010266935590408366,-0.0045422852901357835,-0.00878228305103157,-0.010006244509215612,-0.03398814714780429,-0.009605925136510263,-0.02575220650233423,-0.000972700489511702,-0.010843682922525577,-0.025848117275132143,-0.009563359724238385,-0.011102374365057566,0.003645126978996105,-0.025515390174269736,-0.013683972276767431,-0.011829549389387628,-0.0008453303842974602,-0.01706076110075061,-0.03142206929314606,-0.018965842561520008,-0.008754392233997432,-0.01679832699827899,-0.006233015637157835,-0.016991091453812168,-0.017612257937692166,-0.010850405203424174,-0.007186618681677026,-0.0075911983821570495,-0.010396608280741626,-0.024214970711445516,-0.007510274375157389,-0.0042578236995253205,-0.016592816574737546
2023-06-26,-0.010333201725468144,-0.0006322309858115549,0.018457084769952337,-0.013263395886730645,0.008651758222725014,0.028138559535327845,-0.006301847365177027,0.0026039326770466165,0.0035012215056930973,-0.0009324222401999593,0.017575133535712606,0.01900581369750287,0.006419237256040766,-0.060600166336257755,-0.03269583663035225,0.003276855910648413,-0.010479449531822116,0.014372281984111668,0.02741231548176426,0.010273795829659704,-0.0355349249819672,-0.0037146269296737255,0.006381224756445869,0.005963800008602638,0.00746675337577285,-0.014280637303607402,0.020214762878489223,0.023455990419063433,-0.0014125798738913176,0.022890300953982035,0.0008276041376493737,-0.0071364442436541164,-0.004975158999091178,0.014520376064307339,-0.03681478797509519,-0.01905567305988165,0.02821114188450924,-0.03235422221152706,-0.017662729968166202,-0.011179456572227187,0.004567613380209501,0.0003343612487440861,-0.03736158715299498,-0.013280411936348768,0.02369000702705759,-0.022725206358092165,-0.004609106581448641,0.003239003693254139,-0.00717450215449833,0.01796768126269721,0.00832706115211268,-0.011128380813706373,0.0038424194329893524,-0.001583851059537511,-0.002138136889216602,0.0022497418885554232
2023-06-27,0.0048654936433631946,0.032581647550933956,0.0024930758675303366,0.0021223741345781644,0.02716226738083405,-0.006783629833939209,0.008678342517752347,0.02047367059465577,0.040083033694231496,0.023331777549216337,-0.003116587907890711,0.046475200836472164,0.021261440812409438,0.03800042956291749,-8.435921598093366e-05,0.011431392429375187,-0.00943361178255575,0.02125350523612224,0.04828312749983743,0.03475563575373086,0.030811216927099094,-0.00020729196205626632,0.04480014104404373,-0.08706238948991796,0.011894819123644318,0.0007729350319691797,0.024148687690963788,0.029029650127184725,-0.00014142721244669865,0.008214291034744026,0.018727457974684114,-0.017413975146599037,-0.001666704813639286,-0.005132620962908674,-0.012740639950129418,0.0027407416510740745,0.027094438185949477,0.023410767876433702,0.019678469539307297,-0.002078057439722447,0.04364937816597125,-0.011032991277634241,0.030616256181963175,0.0009375989119957406,0.012762979986828515,0.026788179668795875,0.031732961582989105,0.034938019495157846,0.01970854146041967,0.002285827193708956,0.01200311489752015,-0.012119417769051122,0.016267962302346728,0.012426377594129345,0.007958572160449817,0.008978431696639921
2023-06-28,0.003781504719843287,-0.0005422987939762702,0.008129941605043323,-0.0077655816901696095,0.004175394578603608,-0.030145909067699983,0.010919898489307966,0.004192249683689475,-0.005241682244447432,0.02690379135328347,0.009053539059463933,-0.010752198115562939,0.026370691693339943,0.0240996896954786,0.015634180814939835,0.0024219051891254395,-0.0058398592282687956,0.018943626723241458,-0.017195587375049004,0.0021771358497868487,-0.006131374210734397,-0.00683733706480083,-0.007657122513771264,-0.022427468636752712,-0.0034361524788714126,-0.007701630814230587,-0.00906901557291262,-0.029448094994577567,-0.004998541158233172,-0.04434757076658047,0.006159617008242746,-0.0006785531460686833,0.02337234535430044,0.01706515772418138,-0.0035692922708822072,0.030593674378072144,-0.01878304285103849,0.008154137404926987,-0.011363787010894244,-0.0020208801502711315,-0.022364162269506882,0.014874876322670483,-0.0181249006270241,-0.012889207391710067,-0.024234797610093728,-0.0019929452116996815,-0.009042313293589954,-0.007709440050952088,0.0005855337739906208,0.010135510969228712,0.0,0.0057357979443868334,-0.0026679048605993128,-0.0011317579550426116,-0.0024294424628970024,0.0027810910227408225
2023-06-29,-0.006654405337535585,0.017253639149922728,0.012333863884913088,0.00978302181034274,0.013860000348953516,0.01869836899538546,-0.005891962403946183,-0.04085266164964074,0.005901717492326819,0.014653637522120455,0.008520691807486935,-0.002834105458501157,0.010818019046242577,0.004917303362650394,-0.008986547910045162,-0.01641676326690844,-0.0006776921422412263,0.00026183527368162096,0.0013887673465629025,0.01693513233394861,-0.013179340377968973,0.02013165762708291,0.010459528595703427,0.011985314194620011,0.029670847432490266,0.01730190033166301,0.03050640748136879,0.0033147125019983292,0.01568710153626518,0.009124328221362221,0.005267656624531769,0.005433329279295851,-0.0032626395682111564,0.005365391921705376,-0.004684572241323459,-0.0037223116298032988,0.0044240510310431524,-0.0011399778117230364,-0.002774471236217324,0.006995470615211108,0.0029709723468147597,0.02864753754724081,-0.007174636615652319,0.019337648107976557,0.014334294183402374,0.00971226025785521,-0.001465295500057362,0.00028043524222853833,0.001756119346595142,0.011539036769835365,0.009678283084615158,-0.0023763113054953156,0.004073091395293993,0.014030480224362707,0.017351288451201263,-0.004437094910334505
2023-06-30,0.009640949823231049,0.005634287920984304,0.00515469132794899,0.01629385405862771,-0.019822280217672406,0.01692489935346475,-0.0019757414743031276,-0.01896485383203117,0.01632336744393048,0.001312856840090193,0.007104304060224553,0.0039041230265970395,0.012040214839903918,0.016582481606492783,0.005037784677617285,0.05485917503744053,0.003888554041179715,0.009424117304449364,0.002149381819616991,0.003979721099448774,0.019358392261629387,0.001635976521800142,0.018270364648776072,0.01428514964155947,0.0028198988026364447,0.006427100815243225,-0.007696812638505857,0.016518504666974243,0.003919622790902189,0.018768904173714684,-0.003162904985855919,0.01125882408304979,0.021276535967763577,0.005336514838821582,0.01550400522574602,0.02860541837715913,0.008300865883723363,0.03304169345447594,0.0027821903432985184,0.008653499414428945,0.005035551678173933,0.014572604569529135,0.03625488697277901,0.010150306830891687,0.016090651100787,0.024002210082830766,0.015541678234253453,0.015454202965479391,0.01589345537794018,0.006447367727221431,0.008551787446201331,0.008019110992852463,0.02232708027991892,0.0026641256127417634,0.008677660962703282,0.02506964624410557
2023-07-03,0.0020712526777204587,0.010387078519114024,0.001958100271562513,-0.009186278046118157,-0.013249688426490547,0.00890757410321008,0.011877301442010824,0.012517902572778405,-0.00041240470099412896,0.012237792697372019,-0.0008896134412283985,0.012646690164441976,0.007270427204111973,0.06895373445427366,0.0016709728114860933,0.012359728785677149,0.013467241601361701,0.010373219846093518,0.006434207467082231,0.009940630448281418,-0.0033452404182365836,0.0043893916700143976,-0.0014445647914282933,-0.0006262353738882842,0.005052707203113016,0.004778641044947518,-0.002386689438011569,0.018999705946531442,0.0029281075478204688,0.027657099576071875,-0.001136604892033044,0.0020781350268817,-0.01762815075512969,0.005984072855895528,-0.0008179694578778207,0.0021567168644884838,0.008820542105065776,0.006838881986440892,0.022096856290766853,-0.013110133006132618,0.010020760307856147,-0.018831795385108152,0.00262395264615245,0.005177708941203063,0.05425491447277264,0.016767588195155003,0.008867111574849096,0.00889094081835462,-0.002128070501723922,0.002341059061094386,0.00018630234931271694,-0.0011814202397114615,0.02814505286252511,0.002142762513306584,0.0056363672267008,0.0
