bt_grade,신호수,승률,평균수익,예측수익
관심(0.55~),399,0.3358,-0.0002,0.0221
주의(<0.45),1199,0.4337,0.0192,0.0074
중립(0.45~),1658,0.4638,0.0221,0.015
